,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
1412,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,6,1,2.0
1413,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,4,5,0,2.0
1414,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,1,2.0
1415,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
1416,1,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,4,2,2.0
1417,1,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
1418,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,0,1,2,2.0
1419,1,Bachelor of Business Admin,M,School of Business School,Halls,1,3,2,2.0
1420,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,3,2,2.0
1421,3,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
1422,1,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
1423,4,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,2,2,2.0
1424,1,Bachelor of Engineering,M,School of Engineering,Halls,3,4,3,3.0
1426,4,Bachelor of Science,F,School of Science,Residential Colleges,2,2,1,1.0
1427,2,Bachelor of Science,F,School of Science,Halls,3,2,3,3.0
1428,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,1,2.0
1429,1,Bachelor of Computing,M,School of Computing,Residential Colleges,1,5,2,2.0
1431,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,1,2,2.0
1432,2,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,1,2,2.0
1433,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,3,2,2.0
1434,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
1435,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,1,1,1.0
1436,1,Bachelor of Computing,F,School of Computing,Out of Campus,2,3,3,2.0
1437,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,3,3.0
1438,3,Bachelor of Science,F,School of Science,Out of Campus,0,4,1,1.0
1439,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,3,1,2,2.0
1440,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,2.0
1441,1,Bachelor of Laws,F,School of Law,Out of Campus,1,1,3,3.0
1442,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,3,2.0
1443,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
1444,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,2,4,1,2.0
1445,1,Bachelor of Engineering,F,School of Engineering,Halls,0,3,2,2.0
1448,1,Bachelor of Engineering,F,School of Engineering,Halls,2,2,2,3.0
1449,1,Bachelor of Computing,M,School of Computing,Halls,2,2,3,2.0
1450,3,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Out of Campus,3,7,2,2.0
1452,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
1453,1,Bachelor of Science,F,School of Science,Out of Campus,1,2,1,2.0
1454,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,2.0
1455,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,4,2,2.0
1456,1,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,1,3,2,2.0
1457,1,Bachelor of Computing,F,School of Computing,Out of Campus,1,3,2,1.0
1458,2,Bachelor of Science,F,School of Science,Out of Campus,1,3,1,2.0
1459,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
1460,4,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,1,2,2,2.0
1461,1,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,0,2,1,2.0
1462,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,2,2.0
1463,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,2.0
1464,1,Bachelor of Science,F,School of Science,Halls,2,4,2,2.0
1465,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,4,4,2,3.0
1466,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,4,2,2.0
1467,4,Bachelor of Science,F,School of Science,Halls,1,2,2,2.0
1468,1,Bachelor of Engineering,M,School of Engineering,Halls,2,2,1,2.0
1469,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,1,2.0
1470,1,Bachelor of Science,F,School of Science,Out of Campus,1,1,3,3.0
1471,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,1,2.0
1472,2,Bachelor of Science,M,School of Science,Out of Campus,3,9,2,1.0
1473,2,Bachelor of Computing,F,School of Computing,Halls,1,4,2,2.0
1474,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,1.0
1475,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,1,2.0
1476,2,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,4,2,2.0
1477,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
1478,1,Bachelor of Business Admin,M,School of Business School,Residential Colleges,3,5,2,1.0
1479,1,Bachelor of Science,F,School of Science,Out of Campus,0,2,1,1.0
1480,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1481,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,1.0
1482,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,2.0
1483,2,Bachelor of Arts,M,School of Arts & Social Science,Halls,3,3,2,2.0
1484,2,Bachelor of Business Admin,M,School of Business School,Residences,1,3,2,1.0
1485,3,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Residences,2,5,3,3.0
1486,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,3,1,0.0
1487,4,Bachelor of Science,F,School of Science,Out of Campus,2,3,1,0.0
1488,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,2,2.0
1489,3,Bachelor of Business Admin,F,School of Business School,Residential Colleges,2,3,2,2.0
1490,2,Bachelor of Computing,F,School of Computing,Out of Campus,2,5,2,2.0
1491,4,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,1.0
1492,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,4,2,2.0
1494,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,1,2,1.0
1495,2,Bachelor of Science,M,School of Science,Residential Colleges,1,2,2,2.0
1496,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,4,2,2.0
1497,3,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Out of Campus,1,1,3,3.0
1498,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,8,2,2.0
1499,2,Bachelor of Laws,M,School of Law,Out of Campus,1,2,2,2.0
1500,2,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,1,3,2.0
1501,1,Bachelor of Business Admin,F,School of Business School,Halls,2,3,2,2.0
1502,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,2,2.0
1503,3,Bachelor of Laws,M,School of Law,Out of Campus,2,3,1,0.0
1504,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,1,2.0
1505,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,2,2,2.0
1506,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,2,2.0
1507,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Halls,3,4,2,2.0
1508,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,3.0
1509,1,Bachelor of Science,M,School of Science,Out of Campus,2,4,1,1.0
1510,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
1511,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,4,1,3.0
1512,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,5,2,2.0
1513,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
1514,3,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
1515,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Halls,2,0,2,2.0
1516,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,3,2,2.0
1517,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,5,1,2.0
1518,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,3,2,2.0
1519,3,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,2,1,0,3.0
1520,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,3,1.0
1521,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
1522,3,Bachelor of Dental Surgery,F,School of Dentistry,Out of Campus,1,2,2,1.0
1523,3,Bachelor of Science,M,School of Science,Out of Campus,1,3,2,2.0
1524,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,1,2.0
1525,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,1,3,3.0
1526,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,3,1.0
1527,4,Bachelor of Science,M,School of Science,Residential Colleges,2,3,0,2.0
1528,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,3,1,1.0
1529,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,0,1,2,2.0
1530,4,Bachelor of Laws,F,School of Law,Out of Campus,1,4,2,2.0
1531,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Residences,2,5,1,2.0
1532,1,Bachelor of Business Admin,M,School of Business School,Halls,2,1,2,2.0
1533,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,2,2.0
1534,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,2,2.0
1536,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,6,2,2.0
1537,3,Bachelor of Science,F,School of Science,Out of Campus,3,5,3,2.0
1538,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,1,2,2.0
1539,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,4,5,2,3.0
1540,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,6,2,2.0
1541,3,Bachelor of Science,F,School of Science,Out of Campus,3,3,2,2.0
1542,5,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,1,1.0
1543,4,Bachelor of Engineering,F,School of Engineering,Halls,2,1,1,2.0
1546,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,1,1.0
1547,2,Bachelor of Science (Pharmacy),F,School of Science,Halls,2,5,1,2.0
1548,4,Bachelor of Science,M,School of Science,Out of Campus,2,7,2,3.0
1549,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,1,2,1.0
1550,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,4,2,2.0
1551,1,Bachelor of Engineering,M,School of Engineering,Halls,1,5,2,3.0
1552,3,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,3,4,2,2.0
1553,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
1554,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
1555,3,Bachelor of Arts,F,School of Foreign College,Out of Campus,0,6,2,3.0
1557,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,5,2,2.0
1558,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,2.0
1561,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,1.0
1563,4,Bachelor of Science,F,School of Science,Out of Campus,0,2,2,2.0
1565,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,1,2,2.0
1566,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,2,2.0
1567,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,1,2,2.0
1568,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,3,2.0
1569,4,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,2,1.0
1570,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,7,2,3.0
1571,4,Bachelor of Engineering,M,School of Engineering,Residences,5,2,3,1.0
1572,2,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,1,3,2.0
1573,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,1,2,2.0
1574,3,Bachelor of Engineering,M,School of Engineering,Halls,3,1,3,3.0
1575,3,Bachelor of Engineering,F,School of Engineering,Residences,2,4,1,1.0
1578,1,Bachelor of Science,F,School of Science,Out of Campus,3,9,3,3.0
1580,3,Bachelor of Laws,F,School of Law,Out of Campus,2,2,2,2.0
1581,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,0,2,2,3.0
1582,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
1583,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,1,2,2.0
1584,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,2,3,2,3.0
1586,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,1,2,2.0
1587,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,4,2,2.0
1589,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,3,3,2,2.0
1590,1,Bachelor of Science (Nursing),F,School of Medicine1,Halls,1,3,1,1.0
1591,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,2,2,1.0
1592,4,Bachelor of Science,F,School of Science,Out of Campus,0,3,2,2.0
1593,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,2.0
1594,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,6,2,2.0
1595,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,1,3.0
1596,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,2,2,1.0
1597,1,Bachelor of Science (Nursing),M,School of Medicine1,Out of Campus,0,3,2,2.0
1598,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,2,4,1,2.0
1599,2,Bachelor of Science,M,School of Science,Out of Campus,3,1,1,2.0
1600,1,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,1,5,1,2.0
1601,1,Bachelor of Science,F,School of Science,Out of Campus,1,4,1,1.0
1602,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,4,7,2,2.0
1603,1,Bachelor of Laws,F,School of Law,Out of Campus,3,5,2,3.0
1604,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1605,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,9,2,2.0
1607,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,1,1.0
1608,4,Bachelor of Science,M,School of Science,Residences,1,3,2,1.0
1611,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,6,2,2.0
1612,2,Bachelor of Science,F,School of Science,Out of Campus,0,3,1,2.0
1613,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,1,2.0
1614,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,2,3.0
1615,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,3,2,2.0
1616,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,1.0
1617,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,2.0
1618,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,2.0
1619,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,1,3,3.0
1621,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,2,3.0
1623,2,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,1,4,2,2.0
1624,2,Bachelor of Engineering,F,School of Engineering,Residential Colleges,4,4,2,2.0
1626,2,Bachelor of Science (SOC),F,School of Computing,Out of Campus,2,5,3,2.0
1627,1,Bachelor of Science,M,School of Science,Out of Campus,1,2,1,0.0
1628,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,1,2,2.0
1629,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,3,2,1.0
1630,1,Bachelor of Science,F,School of Science,Residential Colleges,0,3,2,2.0
1631,2,Bachelor of Computing,F,School of Computing,Out of Campus,3,5,1,2.0
1632,1,Bachelor of Business Admin,F,School of Business School,Halls,1,2,2,1.0
1633,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,3,3,2.0
1634,4,Bachelor of Science,M,School of Science,Out of Campus,2,4,3,1.0
1635,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
1636,3,Bachelor of Arts,F,School of Foreign College,Out of Campus,1,2,2,3.0
1637,4,Bachelor of Science,F,School of Science,Out of Campus,0,2,1,2.0
1638,3,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,4,2,2.0
1639,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,1.0
1640,4,Bachelor of Science,M,School of Science,Out of Campus,1,1,3,3.0
1641,3,Bachelor of Arts (SDE),M,School of Design & Environment,Halls,0,1,2,3.0
1642,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Halls,1,2,2,1.0
1644,1,Bachelor of Business Admin,F,School of Business School,Halls,1,3,1,1.0
1645,1,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
1646,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,2,2,2.0
1647,3,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,2,3,2.0
1648,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,2,1.0
1649,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,1,3,2.0
1650,1,Bachelor of Computing,F,School of Computing,Out of Campus,0,1,2,2.0
1651,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
1652,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,1,1,2,2.0
1653,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,6,2,1.0
1654,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,3,2,1.0
1655,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,3,2,1.0
1656,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
1657,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,3.0
1658,2,Bachelor of Business Admin,M,School of Business School,Residences,2,4,2,2.0
1660,4,Bachelor of Science,F,School of Science,Out of Campus,1,5,2,2.0
1661,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
1662,3,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,1,1,2,2.0
1663,2,Bachelor of Science (Pharmacy),F,School of Science,Halls,3,3,2,2.0
1664,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,3,2.0
1665,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,1,2.0
1666,1,Bachelor of Business Admin,M,School of Business School,Residential Colleges,2,6,2,2.0
1667,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,1,2,2.0
1668,4,Bachelor of Laws,F,School of Law,Out of Campus,3,2,2,2.0
1669,3,Bachelor of Science,F,School of Science,Out of Campus,3,3,2,2.0
1670,2,Bachelor of Business Admin,F,School of Business School,Halls,1,2,2,2.0
1671,4,Bachelor of Science,F,School of Science,Out of Campus,1,3,1,2.0
1672,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,2,2,1.0
1673,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
1674,2,Bachelor of Science (SOC),M,School of Computing,Halls,1,2,2,2.0
1675,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,3,2,2.0
1676,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,4,5,2,2.0
1677,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,4,2,1.0
1678,2,Bachelor of Science,M,School of Science,Halls,1,2,3,2.0
1679,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,1,1.0
1680,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Halls,2,2,1,2.0
1682,4,Bachelor of Science,M,School of Science,Halls,3,5,1,2.0
1683,3,Bachelor of Science,M,School of Science,Out of Campus,1,1,1,2.0
1684,3,Bachelor of Science,M,School of Science,Out of Campus,2,2,3,2.0
1685,2,Bachelor of Science (SOC),M,School of Computing,Residential Colleges,2,2,2,2.0
1686,2,Bachelor of Engineering,F,School of Engineering,Halls,1,3,2,2.0
1687,3,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,0,2,2,2.0
1688,1,Bachelor of Computing,M,School of Computing,Halls,3,3,2,2.0
1689,2,Bachelor of Science (Nursing),M,School of Medicine1,Out of Campus,3,2,2,3.0
1690,1,Bachelor of Science (SDE),M,School of Design & Environment,Halls,1,5,2,1.0
1691,2,Bachelor of Science,F,School of Science,Halls,3,3,2,2.0
1692,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,5,2,2.0
1693,1,Bachelor of Science (SDE),F,School of Design & Environment,Residential Colleges,4,6,2,1.0
1694,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,5,2,2.0
1695,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,1,1.0
1696,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,7,2,2.0
1697,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,3,1,2.0
1698,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,1.0
1699,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,2.0
1700,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,5,1,2.0
1701,1,Bachelor of Science,M,School of Science,Out of Campus,1,8,2,2.0
1702,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
1703,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,3.0
1704,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
1705,4,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,6,2,2.0
1706,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,5,2,1.0
1707,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,4,2,2.0
1708,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
1709,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,3,2,1.0
1710,1,Bachelor of Computing,M,School of Computing,Halls,1,7,2,2.0
1711,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,1,3,2,2.0
1712,3,Bachelor of Env Studies (FOS),M,School of Science,Out of Campus,2,3,2,1.0
1713,2,Bachelor of Science,M,School of Science,Out of Campus,2,1,2,1.0
1714,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,2,2,2.0
1715,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,4,2,2.0
1716,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,4,2,1.0
1717,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,5,2,2.0
1718,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,1,2.0
1719,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,5,2,2.0
1720,2,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
1721,4,Bachelor of Computing,F,School of Computing,Out of Campus,1,2,2,1.0
1722,3,Bachelor of Science,F,School of Science,Out of Campus,2,1,2,2.0
1723,4,Bachelor of Science,F,School of Science,Out of Campus,0,4,1,1.0
1724,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
1725,1,Bachelor of Engineering,M,School of Engineering,Halls,3,5,2,2.0
1726,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,2,1.0
1727,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,4,1,2.0
1728,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,3.0
1729,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Halls,1,1,2,2.0
1730,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,3,1.0
1731,3,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,4,2,2.0
1732,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,7,1,2.0
1733,1,Bachelor of Science,F,School of Science,Out of Campus,2,5,1,2.0
1734,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,3,2,1.0
1735,3,Bachelor of Science,F,School of Science,Out of Campus,3,3,1,2.0
1736,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
1737,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,8,2,2.0
1738,3,Bachelor of Dental Surgery,F,School of Dentistry,Halls,2,3,1,2.0
1739,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,2,2,2.0
1740,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
1741,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,6,1,1.0
1742,2,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,1,6,2,1.0
1743,2,Bachelor of Engineering,M,School of Engineering,Halls,2,4,0,2.0
1744,2,Bachelor of Science,F,School of Science,Residential Colleges,1,1,0,1.0
1745,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,5,2,1.0
1746,1,Bachelor of Engineering,M,School of Engineering,Halls,2,4,2,2.0
1747,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
1748,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,6,2,2.0
1750,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,1,2,1.0
1751,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,2,3,3.0
1752,2,Bachelor of Computing,F,School of Computing,Halls,3,2,2,2.0
1753,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,1,2,2.0
1754,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,1.0
1757,2,Bachelor of Science (SDE),F,School of Design & Environment,Halls,4,5,2,3.0
1758,1,Bachelor of Engineering (CEG),F,School of Multi Disciplinary Programme,Halls,2,5,2,2.0
1760,2,Bachelor of Arts (SDE),F,School of Design & Environment,Residential Colleges,2,4,2,2.0
1761,3,Bachelor of Science (SDE),F,School of Design & Environment,Halls,0,2,2,2.0
1762,4,Bachelor of Business Admin,F,School of Business School,Halls,2,5,2,2.0
1764,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,2.0
1765,4,Bachelor of Arts,F,School of Foreign College,Out of Campus,0,3,2,2.0
1766,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,7,2,1.0
1767,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,2,3,3.0
1768,3,Bachelor of Science,F,School of Science,Out of Campus,3,7,1,2.0
1769,1,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,5,2,2.0
