,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
2484,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,3,2.0
2485,1,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,1.0
2486,2,Bachelor of Science,F,School of Science,Halls,2,4,2,2.0
2487,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,4,1,2.0
2488,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,4,2,1.0
2489,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,1.0
2490,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,2,2,3.0
2491,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,3,7,2,2.0
2492,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,1,2,1.0
2493,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,1,2.0
2494,4,Bachelor of Laws,M,School of Law,Out of Campus,1,1,1,2.0
2495,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,4,2,2.0
2496,3,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,2,5,2,2.0
2497,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,2,2,2.0
2498,4,Bachelor of Laws,M,School of Law,Out of Campus,2,4,2,1.0
2499,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,1,2.0
2500,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
2501,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,2,2,2.0
2502,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
2503,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,2.0
2504,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,0,1,2,2.0
2505,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,8,1,2.0
2506,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,2,2.0
2507,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
2508,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,2,2.0
2509,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,1,2.0
2510,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,3,6,3,2.0
2511,2,Bachelor of Engineering,M,School of Engineering,Residences,2,2,1,2.0
2512,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
2513,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
2514,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,2,2,1.0
2515,1,Bachelor of Business Admin,F,School of Business School,Halls,1,3,1,2.0
2516,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,5,2,1.0
2517,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,4,2,2.0
2518,3,Bachelor of Computing,M,School of Computing,Out of Campus,2,5,2,2.0
2519,2,Bachelor of Arts,M,School of Arts & Social Science,Halls,3,3,2,2.0
